Title,Description,Date,Location,Source,URL,Organiser
Inward Processing Relief,"This course will cover Inward Processing Relief (IPR) and discuss the procedures, terminology and common errors involved. It will explain where reduced or nil duty and VAT costs may be available to those who are importing into the EU for re-exportation back outside the EU.",Wed Jun 16 00:00:00 +0100 2010,"Duke Street, Woking",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",Mon Jun 21 00:00:00 +0100 2010,"Thames Street, Staines",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Health and Safety Legislation - Half Day,Anyone who has some control over premises must take reasonable steps to reduce the risk from fire and make sure people can safely escape if there is a fire.  Speakers from the Fire Service will explain the requirements of Fire safety legislation and give practical information on how to help comply with this,Tue Jun 29 00:00:00 +0100 2010,"The Methodist Church, Coventry Central Hall",Business Link,http://www.business-sustain.com/seminars-workshops/index.aspx,Business Link
Paying Someone for the First Time Using the Employer CD-Rom,"This event will explain how to install the CD-ROM, use it to work out an employee's tax and National Insurance deductions, what details you need to include on a wage slip, fill in forms when an employee starts or leaves your employment and work out your payments due to HMRC.",Tue Jun 01 00:00:00 +0100 2010,"Barrington Road, Worthing",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Paying Someone for the First Time Using the Employer CD-Rom,"This event will explain how to install the CD-ROM, use it to work out an employee's tax and National Insurance deductions, what details you need to include on a wage slip, fill in forms when an employee starts or leaves your employment and work out your payments due to HMRC.",Wed Jun 30 00:00:00 +0100 2010,"New North Road, Exeter",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Business over Breakfast,"Come and network over breakfast with companies from around North Wales. 
During networking you will have the opportunity to speak to Academics and staff from the university to discuss the commercial expertise available at Glyndr University to help develop your business. To reserve your free place please contact Sam Clutton on 01978 293 183",Thu Jun 10 00:00:00 +0100 2010,"Deeside Enterprise Centre, Rowleys Drive, Shotton, Queensferry",Business Link,http://www.glyndwr.ac.uk/en/AboutGlyndwrUniversity/Whatson/Eventsforthebusinesscommunity/,Business Link
Prince 2 - Foundation and Practioner ,"This internationally respected course is based on the new Managing Successful Projects with PRINCE2 2009.  The updated course will help those running projects of any size in any environment to effectively deliver what is required appropriately managing the costs, timescales, quality, scope, risks and benefits. To book a place on this event please contact Rebecca Arrowsmith on 02920 416414",Mon Jun 28 00:00:00 +0100 2010,"UWIC Colchester, Colchester Avenue, Cardiff",Business Link,http://fs4b.wales.gov.uk/bdotg/action/eventDescription?site=230&r.lc=en&type=EVENTS&itemId=5001561667,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",Thu Jul 01 00:00:00 +0100 2010,"Barrington Road, Worthing",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",Fri Jul 02 00:00:00 +0100 2010,"Mote Road, Maidstone",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",Fri Jul 02 00:00:00 +0100 2010,"Duke Street, Woking",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",Tue Jul 06 00:00:00 +0100 2010,"London Road, Crawley",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",Mon Jul 12 00:00:00 +0100 2010,"Regent Hill, Brighton",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",Mon Jul 12 00:00:00 +0100 2010,"Watlington Street, Reading",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",Thu Jul 15 00:00:00 +0100 2010,"John Smith Drive, Oxford Business Park South",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",Thu Jul 15 00:00:00 +0100 2010,"Thames Street, Staines",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",Fri Jul 16 00:00:00 +0100 2010,"East Street, Farnham",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",Tue Jul 20 00:00:00 +0100 2010,"High Street, Chatham",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",Thu Aug 05 00:00:00 +0100 2010,"Barrington Road, Worthing",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",Thu Aug 05 00:00:00 +0100 2010,"Castle Street, High Wycombe",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",Thu Aug 05 00:00:00 +0100 2010,"Duke Street, Woking",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",Thu Aug 12 00:00:00 +0100 2010,"East Street, Farnham",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",Mon Aug 16 00:00:00 +0100 2010,"Farnsby Street, Swindon",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",Thu Aug 19 00:00:00 +0100 2010,"Farnsby Street, Swindon",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",Tue Aug 24 00:00:00 +0100 2010,"Southgate Street, Gloucester",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",Thu Aug 26 00:00:00 +0100 2010,"Barrington Road, Worthing",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Paying Someone for the First Time Using the Employer CD-Rom,"This event will explain how to install the CD-ROM, use it to work out an employee's tax and National Insurance deductions, what details you need to include on a wage slip, fill in forms when an employee starts or leaves your employment and work out your payments due to HMRC.",Tue Aug 03 00:00:00 +0100 2010,"Northern Road, Cosham",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Paying Someone for the First Time Using the Employer CD-Rom,"This event will explain how to install the CD-ROM, use it to work out an employee's tax and National Insurance deductions, what details you need to include on a wage slip, fill in forms when an employee starts or leaves your employment and work out your payments due to HMRC.",Wed Aug 11 00:00:00 +0100 2010,"Temple Back, Bristol",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",Fri Sep 10 00:00:00 +0100 2010,"Duke Street, Woking",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",Wed Sep 22 00:00:00 +0100 2010,"John Smith Drive, Oxford Business Park South",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",Thu Sep 23 00:00:00 +0100 2010,"Romsey Road, Southampton",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",Mon Sep 27 00:00:00 +0100 2010,"Farnsby Street, Swindon",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Becoming an Employer - What You Need to Know,"This workshop is based on the Employer CD-Rom and explains how to calculate tax and National Insurance.  It also covers how to use P45/P46 forms for new employees and leavers, how to register for online services and where to get help when needed.",Thu Sep 30 00:00:00 +0100 2010,"Oxford Road, Bournemouth",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Advanced - Advanced Tendering for Public Sector Contracts,"This interactive workshop on tender writing is run by CEis and partners. It's aimed at managers and staff, providing introductory, intermediate and advanced levels. With contributions from experts in successful tender writing, the worskhops will offer practical guidance for organisations wishing to compete for public sector contracts.",Thu Sep 02 00:00:00 +0100 2010,"Marywell Centre, Marywell Street, ABERDEEN, AB11 6JF",Business Link,http://www.ceis.org.uk/supporting-enterprise.html#Enterprise-Programmes,Business Link
Introductory - Accessing Public Sector Tenders,"This interactive workshop on tender writing is run by CEis and partners. It's aimed at managers and staff, providing introductory, intermediate and advanced levels. With contributions from experts in successful tender writing, the worskhops will offer practical guidance for organisations wishing to compete for public sector contracts.",Tue Sep 07 00:00:00 +0100 2010,"33 Church Street, INVERNESS, IV1 1DX",Business Link,http://www.ceis.org.uk/supporting-enterprise.html#Enterprise-Programmes,Business Link
Advanced - Advanced Tendering for Public Sector Contracts,"This interactive workshop on tender writing is run by CEis and partners. It's aimed at managers and staff, providing introductory, intermediate and advanced levels. With contributions from experts in successful tender writing, the worskhops will offer practical guidance for organisations wishing to compete for public sector contracts.",Thu Sep 09 00:00:00 +0100 2010,"Marywell Centre, Marywell Street, ABERDEEN, AB11 6JF",Business Link,http://www.ceis.org.uk/supporting-enterprise.html#Enterprise-Programmes,Business Link
Advanced - Advanced Tendering for Public Sector Contracts,"This interactive workshop on tender writing is run by CEis and partners. It's aimed at managers and staff, providing introductory, intermediate and advanced levels. With contributions from experts in successful tender writing, the worskhops will offer practical guidance for organisations wishing to compete for public sector contracts.",Thu Sep 16 00:00:00 +0100 2010,"Marywell Centre, Marywell Street, ABERDEEN, AB11 6JF",Business Link,http://www.ceis.org.uk/supporting-enterprise.html#Enterprise-Programmes,Business Link
Intermediate - Successful Tendering for Public Sector Contracts,"This interactive workshop on tender writing is run by CEis and partners. It's aimed at managers and staff, providing introductory, intermediate and advanced levels. With contributions from experts in successful tender writing, the worskhops will offer practical guidance for organisations wishing to compete for public sector contracts.",Thu Sep 30 00:00:00 +0100 2010,"33 Church Street, INVERNESS, IV1 1DX",Business Link,http://www.ceis.org.uk/supporting-enterprise.html#Enterprise-Programmes,Business Link
Intermediate - Successful Tendering for Public Sector Contracts,"This interactive workshop on tender writing is run by CEis and partners. It's aimed at managers and staff, providing introductory, intermediate and advanced levels. With contributions from experts in successful tender writing, the worskhops will offer practical guidance for organisations wishing to compete for public sector contracts.",Thu Oct 07 00:00:00 +0100 2010,"33 Church Street, INVERNESS, IV1 1DX",Business Link,http://www.ceis.org.uk/supporting-enterprise.html#Enterprise-Programmes,Business Link
Intermediate - Successful Tendering for Public Sector Contracts,"This interactive workshop on tender writing is run by CEis and partners. It's aimed at managers and staff, providing introductory, intermediate and advanced levels. With contributions from experts in successful tender writing, the worskhops will offer practical guidance for organisations wishing to compete for public sector contracts.",Thu Oct 21 00:00:00 +0100 2010,"33 Church Street, INVERNESS, IV1 1DX",Business Link,http://www.ceis.org.uk/supporting-enterprise.html#Enterprise-Programmes,Business Link
Introbiz Networking Event,"At introbiz, they pride themselves on finding out before the meeting the types of businesses you d like to connect with, so that it will be more beneficial to you, making it more time and cost effective, as time is money. introbiz introduces new contacts that will develop into new businesses. To book a place on thuis event please email info@introbiz.co.uk",Thu Oct 21 00:00:00 +0100 2010,"Novotel Hotel, Cardiff",Business Link,http://fs4b.wales.gov.uk/bdotg/action/eventDescription?site=230&r.lc=en&type=EVENTS&itemId=5001550688,Business Link
Salisbury Breakfast Club - 5 Oct,"<p>Salisbury Breakfast Club provides you with a good opportunity for informal, relaxed and non-pressure networking. With informal information slots at each breakfast, the emphasis is on enjoyment and informality to keep a bright modern approach to the meetings. You'll have the opportunity to network with fellow delegates before breakfast and throughout the morning. This event is run by Bonallack &amp; Bishop Solicitors and is sponsored by Business Link.</p>",Tue Oct 05 00:00:00 +0100 2010,"Grasmere House Hotel, Salisbury SP2 8JN",Business Link,http://online.businesslink.gov.uk/bdotg/action/eventDescription?site=106&r.lc=en&type=EVENTS&itemId=5001537932,Business Link
Three Towns Breakfast Club - 21 Oct,"<p>Three Towns Breakfast Club provides you with a good opportunity for informal, relaxed and non-pressure networking. With informal information slots at each breakfast, the emphasis is on enjoyment and informality to keep a bright modern approach to the meetings. You'll have the opportunity to network with fellow delegates before breakfast and throughout the morning. This event is run by Bonallack &amp; Bishop Solicitors and is sponsored by Business Link.</p>",Thu Oct 21 00:00:00 +0100 2010,"The Corsley Centre, Corsley nr Warminster BA12 7QF",Business Link,http://online.businesslink.gov.uk/bdotg/action/eventDescription?site=106&r.lc=en&type=EVENTS&itemId=5001537969,Business Link
Meet the MoD,During this event delegates will be provided with the opportunity to identify a point of contact within the MoD and develop new sales channels.,Mon Oct 04 00:00:00 +0100 2010,London Chamber of Commerce,Business Link,http://www.ticketsource.co.uk/search/searchPerformanceDetails.asp?performance_id=11814&sid=,Business Link
Free Legal Consultation for Your Business,Higgs & Sons solicitors are pleased to be working with Business Link West Midlands to provide legal advice for your business on the first Tuesday of each month between 2pm and 5pm at Higgs & Sons premises in the Black Country,Tue Oct 05 00:00:00 +0100 2010,"Higgs & Sons, 3 Waterfront Business Park, Brierley Hill, West Midlands, DY5 1LX",Business Link,http://online.businesslink.gov.uk/bdotg/action/eventDescription?site=131&r.lc=en&type=EVENTS&itemId=5001561269,Business Link
Managing the Salesforce,Delegates will be trained on methods designed to improve the performance of their sales team by successfully managing both results and activity.,Wed Oct 06 00:00:00 +0100 2010,"Holiday Inn, Ormeau Ave, Belfast",Business Link,http://www.cosensa.co.uk/CourseInformation.php?CourseID=71&CourseTypeID=5,Business Link
Networking Training - How to Work a Room,"This workshop aims to remove some of the barriers to networking by providing focus for attending events, examining the risks involved, as well as how to reduce and manage them and improving confidence with some practical tools and tips.",Wed Oct 06 00:00:00 +0100 2010,"London Chamber of Commerce, City of London",Business Link,http://www.ticketsource.co.uk/search/searchPerformanceDetails.asp?performance_id=11708&sid=,Business Link
The Entrepreneurs Forum - Financial planning and managing money,"Good financial planning and control helps to increase the chances of business
success in the early stages",Thu Oct 07 00:00:00 +0100 2010,"The Summit Centre, Pavilion Road, Kirkby in Ashfield, Nottingham NG17 7LL",Business Link,http://online.businesslink.gov.uk/bdotg/action/eventDescription?site=140&r.lc=en&type=EVENTS&itemId=5001515166,Business Link
Advanced - Advanced Tendering for Public Sector Contracts,"This interactive workshop on tender writing is run by CEis and partners. It's aimed at managers and staff, providing introductory, intermediate and advanced levels. With contributions from experts in successful tender writing, the worskhops will offer practical guidance for organisations wishing to compete for public sector contracts.",Fri Nov 26 00:00:00 +0000 2010,"187 George Street, GLASGOW, G1 1YU",Business Link,http://www.ceis.org.uk/supporting-enterprise.html#Enterprise-Programmes,Business Link
Advanced Finance for Managers,"This residential advanced finance workshop is run by CEiS and partners. It&#8217;s aimed at managers of Third Sector Organisations. The aim of the training is to improve the capacity of Third Sector organisations to control finances and engage in high-quality financial planning. The workshop offers a mixture of class-based activity, participative learning exercises and peer learning. You can contribute and share ideas and experiences.",Thu Nov 04 00:00:00 +0000 2010,"Stirling Highland Hotel, Spittal Street, STIRLING, 1DU",Business Link,http://www.ceis.org.uk/supporting-enterprise.html#Enterprise-Programmes,Business Link
Advanced Finance for Managers,"This residential advanced finance workshop is run by CEiS and partners. It&#8217;s aimed at managers of Third Sector Organisations. The aim of the training is to improve the capacity of Third Sector organisations to control finances and engage in high-quality financial planning. The workshop offers a mixture of class-based activity, participative learning exercises and peer learning. You can contribute and share ideas and experiences.",Fri Nov 05 00:00:00 +0000 2010,"Stirling Highland Hotel, Spittal Street, STIRLING, 1DU",Business Link,http://www.ceis.org.uk/supporting-enterprise.html#Enterprise-Programmes,Business Link
Salisbury Breakfast Club - 2 Nov,"<p>Salisbury Breakfast Club provides you with a good opportunity for informal, relaxed and non-pressure networking. With informal information slots at each breakfast, the emphasis is on enjoyment and informality to keep a bright modern approach to the meetings. You'll have the opportunity to network with fellow delegates before breakfast and throughout the morning. This event is run by Bonallack &amp; Bishop Solicitors and is sponsored by Business Link.</p>",Tue Nov 02 00:00:00 +0000 2010,"Grasmere House Hotel, Salisbury SP2 8JN",Business Link,http://online.businesslink.gov.uk/bdotg/action/eventDescription?site=106&r.lc=en&type=EVENTS&itemId=5001538008,Business Link
Three Towns Breakfast Club - 18 Nov,"<p>Three Towns Breakfast Club provides you with a good opportunity for informal, relaxed and non-pressure networking. With informal information slots at each breakfast, the emphasis is on enjoyment and informality to keep a bright modern approach to the meetings. You'll have the opportunity to network with fellow delegates before breakfast and throughout the morning. This event is run by Bonallack &amp; Bishop Solicitors and is sponsored by Business Link.</p>",Thu Nov 18 00:00:00 +0000 2010,"The Corsley Centre, Corsley nr Warminster BA12 7QF",Business Link,http://online.businesslink.gov.uk/bdotg/action/eventDescription?site=106&r.lc=en&type=EVENTS&itemId=5001538067,Business Link
Finance for Non-Finance Managers,"This classroom-based finance workshop is run by CEiS and partners. It&#8217;s aimed at non-finance managers of Third Sector Organisations. The aim of the training is to improve the capacity of Third Sector organisations to control finances and engage in high-quality financial planning. The workshop offers a mixture of class-based activity, participative learning exercises and peer learning. You can contribute and share ideas and experiences. Alternatively, this course is also available online.",Wed Nov 10 00:00:00 +0000 2010,"Teacher Building, 14 St Enoch Square, GLASGOW, G1 4DB",Business Link,http://www.ceis.org.uk/supporting-enterprise.html#Enterprise-Programmes,Business Link
Finance for Non-Finance Managers,"This classroom-based finance workshop is run by CEiS and partners. It&#8217;s aimed at non-finance managers of Third Sector Organisations. The aim of the training is to improve the capacity of Third Sector organisations to control finances and engage in high-quality financial planning. The workshop offers a mixture of class-based activity, participative learning exercises and peer learning. You can contribute and share ideas and experiences. Alternatively, this course is also available online.",Wed Nov 17 00:00:00 +0000 2010,"Scottish Enterprise, 3 Greenmarket, DUNDEE, DD1 4QB",Business Link,http://www.ceis.org.uk/supporting-enterprise.html#Enterprise-Programmes,Business Link
Finance for Non-Finance Managers,"This classroom-based finance workshop is run by CEiS and partners. It&#8217;s aimed at non-finance managers of Third Sector Organisations. The aim of the training is to improve the capacity of Third Sector organisations to control finances and engage in high-quality financial planning. The workshop offers a mixture of class-based activity, participative learning exercises and peer learning. You can contribute and share ideas and experiences. Alternatively, this course is also available online.",Wed Nov 24 00:00:00 +0000 2010,"The Melting Pot, 5 Rose Street, EDINBURGH, EH2 2PR",Business Link,http://www.ceis.org.uk/supporting-enterprise.html#Enterprise-Programmes,Business Link
"Finance for Senior Managers, Trustees and Boards","This formal training workshop on Finance is run by CEiS and partners. It&#8217;s aimed at senior managers, trustees and board members of Third Sector Organisations. The aim of the training is to improve the capacity of Third Sector organisations to control finances and engage in high-quality financial planning. The workshop offers a mixture of class-based activity, participative learning exercises and peer learning. You can contribute and share ideas and experiences. Alternatively, this course is also available online.",Tue Nov 02 00:00:00 +0000 2010,"Aberdeen Douglas Hotel, 43-45 Market Street, ABERDEEN, AB11 5EL",Business Link,http://www.ceis.org.uk/supporting-enterprise.html#Enterprise-Programmes,Business Link
Accessing Business Finance,The aim of the Accessing Business Finance workshops is to introduce entrepreneurs and business owners to the basic principles of accessing business finance and inform them of the financing options available to companies in Wales.,Tue Nov 02 00:00:00 +0000 2010,"The Towers Hotel, Jersey Marine, Swansea",Business Link,http://ms.fs4b.wales.gov.uk/business_events_wales/events/a/accessingbus_-_wag_-_021110.aspx,Business Link
Introductory - Accessing Public Sector Tenders,"This interactive workshop on tender writing is run by CEis and partners. It's aimed at managers and staff, providing introductory, intermediate and advanced levels. With contributions from experts in successful tender writing, the worskhops will offer practical guidance for organisations wishing to compete for public sector contracts.",Thu Dec 09 00:00:00 +0000 2010,"22-26 George Street, EDINBURGH, EH2 2PQ",Business Link,http://www.ceis.org.uk/supporting-enterprise.html#Enterprise-Programmes,Business Link
